Province/State,Country/Region,Lat,Long_,Total Cases,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Recovery rate,Death rate,hover_name,New Cases,New Recovered,New Deaths
Ciudad de Mexico,Mexico,19.4326,-99.1332,26509,2850,19750,3909,293.93550805026695,10.751065675808217,0.7450299898147799,0.10751065675808216,"Ciudad de Mexico, Mexico",0,0,0
Coahuila,Mexico,27.0587,-101.7068,1169,81,860,228,36.318785107123325,6.928999144568008,0.7356715141146278,0.06928999144568007,"Coahuila, Mexico",0,0,0
Colima,Mexico,19.1223,-104.0072,158,26,94,38,20.12346638171159,16.455696202531644,0.5949367088607594,0.16455696202531644,"Colima, Mexico",0,0,0
Coquimbo,Chile,-29.959,-71.3389,687,0,0,687,90.68277396889593,0.0,0.0,0.0,"Coquimbo, Chile",0,0,0
Cordoba,Colombia,8.0493,-75.574,135,7,46,82,7.56394474846522,5.185185185185184,0.34074074074074073,0.05185185185185185,"Cordoba, Colombia",0,0,0
Crimea Republic*,Ukraine,45.2835,34.2008,387,3,247,137,20.222277843646786,0.7751937984496124,0.6382428940568475,0.007751937984496124,"Crimea Republic*, Ukraine",0,0,0
Cundinamarca,Colombia,5.026,-74.03,975,19,300,656,33.401163388214016,1.948717948717949,0.3076923076923077,0.019487179487179488,"Cundinamarca, Colombia",0,0,0
Curacao,Netherlands,12.1696,-68.99,20,1,15,4,12.187690432663011,5.0,0.75,0.05,"Curacao, Netherlands",0,0,0
Cusco,Peru,-13.191068,-72.153609,1103,3,0,1100,81.27625082897355,0.27198549410698103,0.0,0.0027198549410698096,"Cusco, Peru",0,0,0
Dagestan Republic,Russia,43.05749160000001,47.1332224,5228,271,4457,500,170.63303616160528,5.18362662586075,0.8525248661055853,0.051836266258607495,"Dagestan Republic, Russia",0,0,0
Distrito Federal,Brazil,-15.7998,-47.8645,11256,177,0,11079,373.3001510976802,1.572494669509595,0.0,0.01572494669509595,"Distrito Federal, Brazil",0,0,0
Dnipropetrovsk Oblast,Ukraine,48.4647,35.0462,943,21,266,656,29.409223892764548,2.2269353128313893,0.28207847295864263,0.022269353128313893,"Dnipropetrovsk Oblast, Ukraine",0,0,0
Donetsk Oblast,Ukraine,48.0159,37.8028,164,4,94,66,3.9367234122942434,2.4390243902439024,0.573170731707317,0.024390243902439025,"Donetsk Oblast, Ukraine",0,0,0
Durango,Mexico,24.5593,-104.6588,410,42,221,147,21.936911582475297,10.24390243902439,0.5390243902439025,0.1024390243902439,"Durango, Mexico",0,0,0
Ehime,Japan,33.624835,132.856842,82,4,56,22,6.122989960536582,4.878048780487805,0.6829268292682927,0.04878048780487805,"Ehime, Japan",0,0,0
Emilia-Romagna,Italy,44.49436681,11.3417208,27828,4136,20780,2912,624.0193637056542,14.862728187437115,0.7467299123185281,0.14862728187437113,"Emilia-Romagna, Italy",0,0,0
Espirito Santo,Brazil,-19.1834,-40.3089,15151,664,0,14487,377.0171575031416,4.382549006666227,0.0,0.04382549006666227,"Espirito Santo, Brazil",0,0,0
Extremadura,Spain,39.4937,-6.0679,2971,508,2652,0,278.8561173767439,17.098619993268258,0.8926287445304611,0.1709861999326826,"Extremadura, Spain",0,0,0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13,0,13,0,373.2414585127763,0.0,1.0,0.0,"Falkland Islands (Malvinas), United Kingdom",0,0,0
Faroe Islands,Denmark,61.8926,-6.9118,187,0,187,0,382.686994781541,0.0,1.0,0.0,"Faroe Islands, Denmark",35,77,4
French Guiana,France,4.0,-53.0,517,1,207,309,173.09379205978263,0.1934235976789168,0.40038684719535783,0.0019342359767891683,"French Guiana, France",0,372,107
French Polynesia,France,-17.6797,-149.4068,60,0,60,0,21.359610400706288,0.0,1.0,0.0,"French Polynesia, France",0,0,0
Friuli Venezia Giulia,Italy,45.6494354,13.76813649,3276,336,2696,244,269.5808166422541,10.256410256410255,0.8229548229548229,0.10256410256410256,"Friuli Venezia Giulia, Italy",0,0,0
Fujian,China,26.0789,117.9874,358,1,356,1,0.9083988835320984,0.2793296089385475,0.994413407821229,0.002793296089385475,"Fujian, China",0,0,0
Fukui,Japan,35.846614,136.22465400000002,122,8,112,2,15.886719874156347,6.557377049180328,0.9180327868852459,0.06557377049180328,"Fukui, Japan",0,0,0
Fukuoka,Japan,33.526032,130.666949,777,28,626,123,15.224311717096628,3.603603603603604,0.8056628056628057,0.036036036036036036,"Fukuoka, Japan",0,0,0
Fukushima,Japan,37.378867,140.223295,81,0,75,6,4.389009270562915,0.0,0.9259259259259259,0.0,"Fukushima, Japan",0,0,0
Galicia,Spain,42.5751,-8.1339,9130,609,9204,0,338.09292630351865,6.670317634173057,1.008105147864184,0.06670317634173056,"Galicia, Spain",0,0,0
Gansu,China,35.7518,104.2861,139,2,137,0,0.5271141448615851,1.4388489208633093,0.9856115107913669,0.014388489208633094,"Gansu, China",0,0,0
Gibraltar,United Kingdom,36.1408,-5.3536,172,0,151,21,510.5220978896441,0.0,0.877906976744186,0.0,"Gibraltar, United Kingdom",0,0,0
Gifu,Japan,35.778671,137.055925,151,7,141,3,7.600975945176325,4.635761589403972,0.9337748344370861,0.046357615894039736,"Gifu, Japan",0,0,0
Goias,Brazil,-15.827,-49.8362,4377,151,0,4226,62.36505026677195,3.449851496458762,0.0,0.03449851496458762,"Goias, Brazil",0,0,0
Grand Princess,Canada,,,13,0,13,0,,0.0,1.0,0.0,"Grand Princess, Canada",0,0,0
Greenland,Denmark,71.7069,-42.6043,13,0,11,2,22.898611991826957,0.0,0.8461538461538461,0.0,"Greenland, Denmark",0,0,0
Guadeloupe,France,16.265,-61.551,162,14,138,10,40.4871453313573,8.641975308641975,0.8518518518518519,0.08641975308641975,"Guadeloupe, France",0,0,0
Guainia,Colombia,2.5854,-68.5247,6,0,0,6,12.470382840753212,0.0,0.0,0.0,"Guainia, Colombia",0,0,0
Guanajuato,Mexico,21.019000000000002,-101.2574,1872,116,1052,704,30.05695890048048,6.196581196581197,0.561965811965812,0.06196581196581197,"Guanajuato, Mexico",0,0,0
Guangdong,China,23.3417,113.4244,1597,8,1583,6,1.4075445090780891,0.5009392611145899,0.9912335629304947,0.005009392611145898,"Guangdong, China",0,0,0
Guangxi,China,23.8298,108.7881,254,2,252,0,0.5156313438895656,0.7874015748031497,0.9921259842519685,0.007874015748031496,"Guangxi, China",0,0,0
Guerrero,Mexico,17.4392,-99.5451,2052,286,1503,263,56.11083037466285,13.937621832358674,0.7324561403508771,0.13937621832358674,"Guerrero, Mexico",0,0,0
Guizhou,China,26.8154,106.8748,147,2,145,0,0.4083333333333333,1.3605442176870748,0.9863945578231292,0.013605442176870748,"Guizhou, China",0,0,0
Gunma,Japan,36.504479,138.985605,149,19,122,8,7.670701421293455,12.751677852348996,0.8187919463087249,0.12751677852348994,"Gunma, Japan",0,0,0
Hainan,China,19.1959,109.7453,169,6,163,0,1.809421841541756,3.5502958579881656,0.9644970414201184,0.03550295857988166,"Hainan, China",0,0,0
Hamburg,Germany,53.5511,9.9937,5098,253,4800,45,276.88779852474966,4.962730482542173,0.9415457041977247,0.049627304825421735,"Hamburg, Germany",0,0,0
Hebei,China,37.8957,114.9042,328,6,322,0,0.4340921122286924,1.8292682926829267,0.9817073170731707,0.018292682926829267,"Hebei, China",0,0,0
Heilongjiang,China,47.861999999999995,127.7615,945,13,932,0,2.504638218923933,1.3756613756613756,0.9862433862433863,0.013756613756613757,"Heilongjiang, China",0,0,0
Henan,China,33.882,113.61399999999999,1276,22,1254,0,1.3284747527329517,1.7241379310344829,0.9827586206896551,0.017241379310344827,"Henan, China",0,0,0
Hessen,Germany,50.6521,9.1624,10060,480,9000,580,160.55388857209022,4.7713717693836974,0.8946322067594433,0.04771371769383698,"Hessen, Germany",0,0,0
Hidalgo,Mexico,20.0911,-98.7624,1898,329,1105,464,61.49531462726647,17.33403582718651,0.5821917808219178,0.1733403582718651,"Hidalgo, Mexico",0,0,0
Hiroshima,Japan,34.605309000000005,132.788719,164,3,158,3,5.848418270316032,1.8292682926829267,0.9634146341463414,0.018292682926829267,"Hiroshima, Japan",0,0,0
