Province/State,Country/Region,Lat,Long_,Total Cases,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Death rate,hover_name,New Cases,New Recovered,New Deaths
Pennsylvania,United States,40.5908,-77.2098,74984,5464,46370,23150,,,0.07286887869412141,"Pennsylvania, United States",0,0,0
Puerto Rico,United States,18.2208,-66.5901,3647,132,0,3515,,,0.03619413216342199,"Puerto Rico, United States",0,0,0
Rhode Island,United States,41.6809,-71.5118,14635,693,1206,12736,,,0.04735223778612914,"Rhode Island, United States",0,0,0
South Carolina,United States,33.8569,-80.945,11131,483,6459,4189,,,0.04339232773335729,"South Carolina, United States",0,0,0
South Dakota,United States,44.2998,-99.4388,4866,59,3744,1063,,,0.012124948623099055,"South Dakota, United States",0,0,0
Tennessee,United States,35.7478,-86.6923,22063,361,14965,6737,,,0.016362235416761094,"Tennessee, United States",0,0,0
Texas,United States,31.0545,-97.5635,60901,1619,40068,19214,,,0.026584128339436134,"Texas, United States",0,0,0
Utah,United States,40.15,-111.8624,9264,107,5813,3344,,,0.011550086355785838,"Utah, United States",0,0,0
Vermont,United States,44.0459,-72.7107,975,55,859,61,,,0.05641025641025641,"Vermont, United States",0,0,0
Virgin Islands,United States,18.3358,-64.8963,69,6,61,2,,,0.08695652173913043,"Virgin Islands, United States",0,0,0
Virginia,United States,37.7693,-78.17,42533,1358,5648,35527,,,0.031928149907130936,"Virginia, United States",0,0,0
Washington,United States,47.4009,-121.4905,21071,1111,0,19960,,,0.05272649613212472,"Washington, United States",0,0,0
West Virginia,United States,38.4912,-80.9545,1951,74,1241,636,,,0.037929267042542285,"West Virginia, United States",0,0,0
Wisconsin,United States,44.2685,-89.6165,17707,568,10880,6259,,,0.032077709380471,"Wisconsin, United States",0,0,0
Wyoming,United States,42.756,-107.3025,891,15,634,242,,,0.016835016835016835,"Wyoming, United States",0,0,0
